,Facility Name,CMS Certification Number (CCN),City,state,State Abbr,Zip Code,Lat,Long,VAT Catheter Measure Score,National Average VAT Catheter Measure Score,VAT Fistula Measure Score,National Average Fistula Measure Score,Vascular Access Combined Measure Score,National Average Vascular Access Combined Measure Score,Kt/V Comprehensive Measure Score,National Average Kt/V Comprehensive Measure Score,Hypercalcemia Measure Score,National Average Hypercalcemia Measure Score,NHSN Influenza Measure Score,National Average NHSN Influenza Measure Score,NHSN BSI Measure Score,National Average NHSN BSI Measure Score,NHSN Combined Measure Score,National Average NHSN Combined Measure Score,ICH CAHPS Measure Score,National Average ICH CAHPS Measure Score,Mineral Metabolism Measure Score,National Avg Mineral Metabolism Measure Score,Anemia Management Measure Score,National Average Anemia Management Measure Score,Standardized Readmission Ratio (SRR) Measure Score,National Average SRR Measure Score,Standardized Transfusion Ratio (STrR) Measure Score,National Average STrR Measure Score,Clinical Depression Screening and Follow-up Measure Score,National Average Clinical Depression Screening and Follow-up Measure Score,Pain Assessment and Follow-up Measure Score,National Average Pain Assessment and Follow-up Measure Score,Total Performance Score,PY2019 Payment Reduction Percentage,CMS Certification Date,FacilityAge
2469,BMA DALLAS SOUTH,452679,DALLAS,Texas,TX,75208,32.79,-96.76,4,5,2,5,3,5,10,8,8,8,10,9,6,6,8,7,4,5,10,9,10,10,7,5,9,5,10,10,10,10,70,No Reduction,9/7/1994,8881 days 00:00:00.000000000
2470,UNIVERSITY DIALYSIS SOUTHEAST,453504,SAN ANTONIO,Texas,TX,78223,29.45,-98.5,10,5,7,5,9,5,10,8,8,8,10,9,7,6,8,7,8,5,10,9,10,10,1,5,9,5,10,10,10,10,79,No Reduction,9/12/2001,6319 days 00:00:00.000000000
2471,DAVITA  WEST,452720,EL PASO,Texas,TX,79905,31.84,-106.43,10,5,10,5,10,5,10,8,10,8,10,9,6,6,8,7,0,5,10,9,10,10,6,5,5,5,10,10,10,10,68,No Reduction,9/11/1995,8512 days 00:00:00.000000000
2472,US RENAL CARE WEBSTER DIALYSIS,452834,HOUSTON,Texas,TX,77002,29.76,-95.38,4,5,3,5,4,5,7,8,9,8,10,9,5,6,7,7,4,5,10,9,10,10,0,5,10,5,10,10,10,10,58,0.50%,8/31/2001,6331 days 00:00:00.000000000
2473,DOWNTOWN HOUSTON DIALYSIS CENTER,452899,HOUSTON,Texas,TX,77002,29.76,-95.38,9,5,4,5,7,5,10,8,10,8,10,9,7,6,8,7,7,5,10,9,10,10,4,5,3,5,10,10,10,10,73,No Reduction,11/15/2004,5159 days 00:00:00.000000000
2474,FRESENIUS MEDICAL CARE MCALLEN,452508,MCALLEN,Texas,TX,78503,26.21,-98.23,5,5,4,5,5,5,9,8,9,8,10,9,9,6,9,7,5,5,10,9,10,10,6,5,6,5,10,10,10,10,71,No Reduction,8/31/1977,15097 days 00:00:00.000000000
2475,VALLEY DIALYSIS OF MCALLEN,452872,MCALLEN,Texas,TX,78503,26.21,-98.23,1,5,1,5,1,5,5,8,6,8,10,9,10,6,10,7,4,5,10,9,10,10,8,5,5,5,9,10,10,10,59,0.50%,11/6/2003,5534 days 00:00:00.000000000
2476,SOUTH ARLINGTON DIALYSIS CENTER,452592,ARLINGTON,Texas,TX,76015,32.69,-97.12,3,5,4,5,3,5,8,8,7,8,10,9,3,6,6,7,7,5,10,9,10,10,10,5,4,5,10,10,10,10,68,No Reduction,12/3/1986,11716 days 00:00:00.000000000
2477,SATELLITE HEALTHCARE NORTH LAREDO,452518,LAREDO,Texas,TX,78041,27.53,-99.48,3,5,2,5,3,5,8,8,8,8,10,9,6,6,8,7,10,5,10,9,10,10,6,5,4,5,10,10,10,10,73,No Reduction,8/31/1977,15097 days 00:00:00.000000000
2478,US RENAL CARE LAREDO DIALYSIS,452823,LAREDO,Texas,TX,78041,27.53,-99.48,3,5,0,5,2,5,9,8,10,8,10,9,5,6,7,7,4,5,10,9,10,10,4,5,4,5,10,10,10,10,58,0.50%,2/21/2001,6522 days 00:00:00.000000000
2479,US RENAL CARE LAREDO SOUTH DIALYSIS,672566,LAREDO,Texas,TX,78041,27.53,-99.48,8,5,2,5,5,5,8,8,8,8,10,9,4,6,6,7,5,5,10,9,10,10,10,5,6,5,10,10,10,10,69,No Reduction,5/3/2007,4260 days 00:00:00.000000000
2480,HOPE KIDNEY CLINIC LAKEVIEW,672667,LAREDO,Texas,TX,78041,27.53,-99.48,0,5,0,5,0,5,10,8,9,8,10,9,7,6,8,7,6,5,10,9,10,10,9,5,5,5,10,10,10,10,69,No Reduction,5/18/2011,2784 days 00:00:00.000000000
2481,HOPE KIDNEY CLINIC,672590,LAREDO,Texas,TX,78041,27.53,-99.48,6,5,3,5,5,5,10,8,10,8,10,9,6,6,8,7,5,5,10,9,10,10,10,5,6,5,10,10,10,10,77,No Reduction,4/4/2008,3923 days 00:00:00.000000000
2482,TOMBALL DIALYSIS CENTER,452743,TOMBALL,Texas,TX,77375,30.09,-95.61,6,5,3,5,5,5,8,8,7,8,10,9,0,6,4,7,9,5,10,9,10,10,1,5,2,5,10,10,10,10,59,0.50%,9/11/1996,8146 days 00:00:00.000000000
2483,MT PLEASANT DIALYSIS CENTER,452598,MOUNT PLEASANT,Texas,TX,75455,33.16,-94.97,10,5,0,5,5,5,10,8,10,8,10,9,4,6,6,7,3,5,10,9,10,10,6,5,0,5,10,10,10,10,59,0.50%,2/1/1987,11656 days 00:00:00.000000000
2484,NEW BRAUNFELS DIALYSIS,452798,NEW BRAUNFELS,Texas,TX,78130,29.7,-98.11,7,5,0,5,4,5,9,8,9,8,10,9,4,6,6,7,5,5,10,9,10,10,1,5,9,5,10,10,10,10,62,No Reduction,3/17/1999,7229 days 00:00:00.000000000
2485,LIVE OAK DIALYSIS,452570,LIVE OAK,Texas,TX,78233,29.45,-98.5,10,5,6,5,8,5,10,8,8,8,10,9,4,6,6,7,9,5,10,9,10,10,5,5,10,5,10,10,10,10,82,No Reduction,8/1/2010,3074 days 00:00:00.000000000
2486,RENAL CENTER OF CARROLLTON,452887,CARROLLTON,Texas,TX,75007,32.98,-96.89,8,5,3,5,6,5,8,8,9,8,10,9,6,6,8,7,3,5,5,9,9,10,6,5,5,5,8,10,10,10,63,No Reduction,8/3/2004,5263 days 00:00:00.000000000
2487,FRESENIUS MEDICAL CARE WESTOVER HILLS,452507,SAN ANTONIO,Texas,TX,78251,29.45,-98.5,7,5,10,5,8,5,9,8,10,8,10,9,8,6,9,7,4,5,10,9,10,10,0,5,2,5,10,10,10,10,63,No Reduction,8/31/1977,15097 days 00:00:00.000000000
2488,WESTOVER DIALYSIS,672708,SAN ANTONIO,Texas,TX,78251,29.45,-98.5,9,5,9,5,9,5,10,8,10,8,10,9,2,6,5,7,9,5,10,9,10,10,5,5,8,5,10,10,10,10,81,No Reduction,8/7/2013,1972 days 00:00:00.000000000
2489,WALNUT HILL DIALYSIS CENTER,452702,DALLAS,Texas,TX,75231,32.79,-96.76,6,5,1,5,4,5,9,8,10,8,10,9,0,6,4,7,4,5,9,9,10,10,1,5,10,5,10,10,10,10,58,0.50%,12/21/1993,9141 days 00:00:00.000000000
2490,US RENAL CARE NORTH DALLAS DIALYSIS,672753,DALLAS,Texas,TX,75231,32.79,-96.76,8,5,1,5,5,5,2,8,2,8,10,9,7,6,8,7,8,5,9,9,10,10,3,5,1,5,10,10,10,10,53,0.50%,1/30/2015,1431 days 00:00:00.000000000
2491,DAVITA CENTRAL DALLAS DIALYSIS,672632,DALLAS,Texas,TX,75231,32.79,-96.76,8,5,4,5,6,5,6,8,6,8,10,9,1,6,5,7,0,5,9,9,10,10,9,5,3,5,10,10,10,10,52,0.50%,3/9/2010,3219 days 00:00:00.000000000
2492,KIDNEY DISEASE CLINIC OF UVALDE,452540,UVALDE,Texas,TX,78801,29.21,-99.78,6,5,9,5,7,5,9,8,9,8,10,9,6,6,8,7,8,5,10,9,10,10,8,5,7,5,10,10,10,10,82,No Reduction,1/16/1981,13863 days 00:00:00.000000000
2493,NORTH LOOP EAST DIALYSIS,452706,HOUSTON,Texas,TX,77028,29.76,-95.38,7,5,8,5,7,5,8,8,10,8,10,9,5,6,7,7,7,5,9,9,10,10,0,5,8,5,10,10,10,10,69,No Reduction,3/30/1995,8677 days 00:00:00.000000000
2494,CLEVELAND DIALYSIS CENTER,452731,CLEVELAND,Texas,TX,77327,30.34,-95.07,5,5,4,5,5,5,7,8,5,8,10,9,0,6,4,7,4,5,9,9,10,10,3,5,0,5,10,10,10,10,47,1.00%,4/16/1996,8294 days 00:00:00.000000000
2495,AMERI-TECH KIDNEY CENTER-ARLINGTON LLC,452618,ARLINGTON,Texas,TX,76013,32.69,-97.12,3,5,5,5,4,5,6,8,6,8,10,9,10,6,10,7,4,5,8,9,10,10,8,5,5,5,10,10,9,10,64,No Reduction,4/2/1990,10500 days 00:00:00.000000000
2496,FRESENIUS MEDICAL CARE LUBBOCK,452568,LUBBOCK,Texas,TX,79411,33.57,-101.87,7,5,3,5,5,5,9,8,10,8,10,9,9,6,9,7,0,5,10,9,10,10,5,5,6,5,10,10,10,10,61,No Reduction,10/30/1985,12115 days 00:00:00.000000000
2497,FMC DIALYSIS SERVICES OF NORTH BROWNSVILLE,452846,BROWNSVILLE,Texas,TX,78521,25.92,-97.48,1,5,1,5,1,5,10,8,9,8,10,9,8,6,9,7,3,5,10,9,10,10,3,5,3,5,10,10,10,10,57,0.50%,6/7/2002,6051 days 00:00:00.000000000
2498,FRESENIUS MEDICAL CARE SOUTH PRICE,672709,BROWNSVILLE,Texas,TX,78521,25.92,-97.48,3,5,6,5,4,5,8,8,8,8,10,9,10,6,10,7,4,5,10,9,10,10,3,5,0,5,10,10,10,10,58,0.50%,9/13/2013,1935 days 00:00:00.000000000
2499,FRESENIUS MEDICAL CARE AMARILLO HIGH PLAINS,452513,AMARILLO,Texas,TX,79106,35.2,-101.81,3,5,1,5,2,5,9,8,10,8,10,9,7,6,8,7,5,5,10,9,10,10,3,5,3,5,10,10,10,10,60,No Reduction,8/31/1977,15097 days 00:00:00.000000000
2500,ALICE RENAL CENTER,452537,ALICE,Texas,TX,78332,27.75,-98.06,0,5,0,5,0,5,10,8,10,8,10,9,8,6,9,7,5,5,10,9,10,10,5,5,6,5,10,10,10,10,65,No Reduction,10/29/1980,13942 days 00:00:00.000000000
2501,BMA SOUTHEAST SAN ANTONIO,452638,SAN ANTONIO,Texas,TX,78222,29.45,-98.5,8,5,9,5,8,5,10,8,9,8,10,9,7,6,8,7,1,5,10,9,10,10,7,5,4,5,10,10,10,10,67,No Reduction,1/14/1992,9848 days 00:00:00.000000000
2502,SOUTHCROSS DIALYSIS CENTER,672519,SAN ANTONIO,Texas,TX,78222,29.45,-98.5,9,5,6,5,8,5,9,8,7,8,10,9,6,6,8,7,6,5,10,9,10,10,7,5,0,5,10,10,10,10,71,No Reduction,8/23/2005,4878 days 00:00:00.000000000
2503,FRESENIUS MEDICAL CARE NORTH TEXAS,452510,WICHITA FALLS,Texas,TX,76301,33.89,-98.51,8,5,9,5,8,5,9,8,9,8,10,9,9,6,9,7,6,5,10,9,10,10,4,5,3,5,10,10,10,10,72,No Reduction,8/31/1977,15097 days 00:00:00.000000000
2504,HUNTSVILLE DIALYSIS,452663,HUNTSVILLE,Texas,TX,77340,30.71,-95.54,8,5,8,5,8,5,7,8,5,8,10,9,8,6,9,7,5,5,7,9,10,10,1,5,6,5,10,10,10,10,64,No Reduction,1/26/1994,9105 days 00:00:00.000000000
2505,USRC TARRANT DIALYSIS CENTER MANSFIELD,452896,MANSFIELD,Texas,TX,76063,32.56,-97.11,0,5,2,5,1,5,8,8,8,8,10,9,5,6,7,7,1,5,10,9,10,10,0,5,3,5,10,10,10,10,43,1.00%,10/15/2004,5190 days 00:00:00.000000000
2506,FMC NORTH BUCKNER DIALYSIS CENTER,452739,DALLAS,Texas,TX,75228,32.79,-96.76,10,5,0,5,5,5,9,8,10,8,10,9,5,6,7,7,6,5,10,9,10,10,5,5,8,5,10,10,10,10,71,No Reduction,7/18/1996,8201 days 00:00:00.000000000
2507,DALLAS EAST DIALYSIS,452822,DALLAS,Texas,TX,75228,32.79,-96.76,7,5,4,5,6,5,8,8,9,8,10,9,6,6,8,7,8,5,10,9,10,10,3,5,3,5,10,10,10,10,69,No Reduction,11/8/2000,6627 days 00:00:00.000000000
2508,VILLAGE II DIALYSIS CENTER,452688,DALLAS,Texas,TX,75228,32.79,-96.76,8,5,0,5,4,5,10,8,9,8,10,9,5,6,7,7,3,5,10,9,10,10,4,5,7,5,10,10,10,10,63,No Reduction,10/31/1994,8827 days 00:00:00.000000000
2509,FRESENIUS MEDICAL CARE BRAZOS,452526,WACO,Texas,TX,76708,31.56,-97.18,7,5,7,5,7,5,4,8,9,8,10,9,9,6,9,7,6,5,10,9,10,10,5,5,5,5,10,10,10,10,67,No Reduction,10/27/1977,15040 days 00:00:00.000000000
2510,BMA DALLAS CENTRAL,452684,DALLAS,Texas,TX,75227,32.79,-96.76,9,5,2,5,6,5,9,8,9,8,10,9,4,6,6,7,3,5,10,9,10,10,10,5,8,5,10,10,10,10,71,No Reduction,9/7/1994,8881 days 00:00:00.000000000
2511,NNA - MARBLE FALLS,452827,MARBLE FALLS,Texas,TX,78654,30.57,-98.27,10,5,9,5,10,5,8,8,10,8,10,9,7,6,8,7,5,5,10,9,10,10,5,5,0,5,10,10,10,10,69,No Reduction,3/22/2001,6493 days 00:00:00.000000000
2512,KATY DIALYSIS CENTER,452761,KATY,Texas,TX,77494,29.79,-95.82,6,5,1,5,4,5,10,8,5,8,10,9,3,6,6,7,6,5,9,9,10,10,3,5,5,5,10,10,10,10,62,No Reduction,7/3/1997,7851 days 00:00:00.000000000
2513,FRESENIUS MEDICAL CARE CORSICANA,452553,CORSICANA,Texas,TX,75110,32.08,-96.46,10,5,7,5,9,5,6,8,10,8,10,9,5,6,7,7,2,5,10,9,9,10,7,5,6,5,10,10,10,10,65,No Reduction,4/4/1983,13055 days 00:00:00.000000000
2514,SATELLITE HEALTHCARE SOUTHEAST LAREDO,452853,LAREDO,Texas,TX,78046,27.53,-99.48,4,5,0,5,2,5,9,8,9,8,10,9,4,6,6,7,9,5,10,9,10,10,5,5,9,5,10,10,10,10,72,No Reduction,10/15/2002,5921 days 00:00:00.000000000
2515,WEATHERFORD DIALYSIS CENTER,452719,WEATHERFORD,Texas,TX,76086,32.75,-97.77,0,5,0,5,0,5,10,8,7,8,10,9,1,6,5,7,6,5,10,9,10,10,6,5,7,5,10,10,10,10,61,No Reduction,10/5/1995,8488 days 00:00:00.000000000
2516,PINECREST DIALYSIS CENTER,452893,MARSHALL,Texas,TX,75670,32.53,-94.35,8,5,0,5,4,5,10,8,6,8,10,9,0,6,4,7,6,5,10,9,10,10,6,5,7,5,10,10,10,10,65,No Reduction,9/27/2004,5208 days 00:00:00.000000000
2517,SOUTHWEST SAN ANTONIO DIALYSIS,452605,SAN ANTONIO,Texas,TX,78211,29.45,-98.5,10,5,10,5,10,5,10,8,10,8,10,9,8,6,9,7,8,5,10,9,10,10,2,5,10,5,10,10,10,10,85,No Reduction,3/4/1988,11259 days 00:00:00.000000000
2518,MED CENTER DIALYSIS,452572,HOUSTON,Texas,TX,77004,29.76,-95.38,6,5,3,5,5,5,6,8,7,8,10,9,2,6,5,7,6,5,10,9,10,10,2,5,0,5,10,10,10,10,51,0.50%,3/21/1986,11973 days 00:00:00.000000000
2519,RCG PARIS,452748,PARIS,Texas,TX,75460,33.66,-95.54,6,5,0,5,3,5,10,8,9,8,10,9,0,6,4,7,6,5,10,9,10,10,7,5,7,5,10,10,10,10,66,No Reduction,10/15/1996,8112 days 00:00:00.000000000
2520,BIO MEDICAL APPLICATIONS OF TEXAS INC.,672706,PARIS,Texas,TX,75460,33.66,-95.54,2,5,0,5,1,5,7,8,9,8,10,9,5,6,7,7,4,5,9,9,10,10,4,5,3,5,10,10,10,10,52,0.50%,7/12/2013,1998 days 00:00:00.000000000
2521,HOUSTON KIDNEY CTR SOUTHWEST,452780,HOUSTON,Texas,TX,77099,29.76,-95.38,4,5,6,5,5,5,4,8,6,8,10,9,6,6,8,7,5,5,10,9,10,10,3,5,4,5,10,10,10,10,55,0.50%,7/1/1998,7488 days 00:00:00.000000000
2522,CIELO VISTA DIALYSIS,452707,EL PASO,Texas,TX,79915,31.84,-106.43,7,5,9,5,8,5,10,8,8,8,10,9,7,6,8,7,7,5,10,9,10,10,4,5,8,5,10,10,10,10,78,No Reduction,3/31/1995,8676 days 00:00:00.000000000
2523,UNIVERSITY DIALYSIS SOUTH,453512,SAN ANTONIO,Texas,TX,78221,29.45,-98.5,9,5,9,5,9,5,10,8,10,8,10,9,2,6,5,7,8,5,10,9,10,10,10,5,9,5,10,10,10,10,86,No Reduction,1/1/2011,2921 days 00:00:00.000000000
2524,US RENAL CARE PLEASANTON ROAD DIALYSIS,672510,SAN ANTONIO,Texas,TX,78221,29.45,-98.5,10,5,0,5,5,5,9,8,10,8,10,9,6,6,8,7,6,5,10,9,10,10,8,5,7,5,10,10,10,10,76,No Reduction,5/5/2005,4988 days 00:00:00.000000000
2525,FMC CARIZZO SPRINGS KIDNEY DISEASE CLINIC,452782,CARRIZO SPRINGS,Texas,TX,78834,28.52,-99.85,9,5,10,5,9,5,10,8,10,8,10,9,10,6,10,7,4,5,10,9,10,10,6,5,9,5,10,10,10,10,81,No Reduction,8/12/1998,7446 days 00:00:00.000000000
2526,GILMER DIALYSIS,452897,GILMER,Texas,TX,75644,32.73,-94.94,10,5,9,5,10,5,10,8,9,8,10,9,5,6,7,7,3,5,9,9,10,10,6,5,4,5,10,10,10,10,71,No Reduction,10/25/2004,5180 days 00:00:00.000000000
2527,NORTHWEST KIDNEY CENTER,452642,HOUSTON,Texas,TX,77092,29.76,-95.38,7,5,4,5,6,5,10,8,10,8,10,9,6,6,8,7,8,5,10,9,10,10,1,5,6,5,10,10,10,10,73,No Reduction,2/26/1992,9805 days 00:00:00.000000000
2528,BRENHAM DIALYSIS,452641,BRENHAM,Texas,TX,77833,30.15,-96.39,10,5,9,5,10,5,10,8,10,8,10,9,6,6,8,7,6,5,10,9,10,10,8,5,5,5,10,10,10,10,82,No Reduction,2/26/1992,9805 days 00:00:00.000000000
2529,TRC PEARLAND DIALYSIS,452845,PEARLAND,Texas,TX,77581,29.55,-95.27,5,5,6,5,5,5,6,8,3,8,10,9,5,6,7,7,7,5,8,9,10,10,4,5,1,5,10,10,10,10,57,0.50%,6/6/2002,6052 days 00:00:00.000000000
2530,US RENAL CARE GATEWAY DIALYSIS,452851,SAN ANTONIO,Texas,TX,78227,29.45,-98.5,9,5,7,5,8,5,10,8,10,8,10,9,6,6,8,7,3,5,9,9,10,10,4,5,8,5,10,10,10,10,71,No Reduction,10/16/2002,5920 days 00:00:00.000000000
2531,TEXARKANA REGIONAL DIALYSIS,452552,TEXARKANA,Texas,TX,75503,33.44,-94.07,6,5,1,5,4,5,9,8,9,8,10,9,1,6,5,7,3,5,10,9,10,10,9,5,6,5,10,10,10,10,63,No Reduction,3/1/1983,13089 days 00:00:00.000000000
2532,LUBBOCK DIALYSIS CENTER-REDBUD,452792,LUBBOCK,Texas,TX,79416,33.57,-101.87,3,5,5,5,4,5,9,8,10,8,10,9,8,6,9,7,2,5,10,9,10,10,3,5,7,5,10,10,10,10,62,No Reduction,2/4/1999,7270 days 00:00:00.000000000
2533,SAN JACINTO DIALYSIS,452530,HOUSTON,Texas,TX,77029,29.76,-95.38,10,5,10,5,10,5,6,8,9,8,10,9,9,6,9,7,2,5,10,9,10,10,8,5,3,5,10,10,10,10,68,No Reduction,4/27/1979,14493 days 00:00:00.000000000
2534,JACINTO DIALYSIS CENTER,672503,JACINTO CITY,Texas,TX,77029,29.76,-95.38,7,5,10,5,8,5,7,8,3,8,10,9,4,6,6,7,7,5,9,9,10,10,10,5,5,5,10,10,10,10,72,No Reduction,12/13/2004,5131 days 00:00:00.000000000
2535,HOUSTON KIDNEY CENTER CYPRESS STATION,452784,HOUSTON,Texas,TX,77090,29.76,-95.38,8,5,6,5,7,5,6,8,8,8,10,9,3,6,6,7,8,5,10,9,10,10,5,5,3,5,10,10,10,10,67,No Reduction,10/7/1998,7390 days 00:00:00.000000000
2536,ROMANO WOODS DIALYSIS CENTER,672655,HOUSTON,Texas,TX,77090,29.76,-95.38,0,5,3,5,1,5,3,8,0,8,10,9,5,6,7,7,2,5,7,9,10,10,1,5,5,5,10,10,10,10,35,1.50%,9/21/2010,3023 days 00:00:00.000000000
2537,WATSON WISE DIALYSIS CENTER,452532,TYLER,Texas,TX,75701,32.32,-95.3,10,5,1,5,6,5,10,8,9,8,10,9,8,6,9,7,9,5,10,9,10,10,5,5,6,5,10,10,10,10,81,No Reduction,7/9/1979,14420 days 00:00:00.000000000
2538,RENAL CENTER OF LEWISVILLE,452648,LEWISVILLE,Texas,TX,75057,33.04,-96.98,9,5,5,5,7,5,10,8,7,8,0,9,4,6,6,7,5,5,8,9,10,10,0,5,7,5,10,10,6,10,60,No Reduction,12/10/1992,9517 days 00:00:00.000000000
2539,SATELLITE DIALYSIS SOUTHWOOD,452797,AUSTIN,Texas,TX,78704,30.26,-97.74,7,5,5,5,6,5,9,8,9,8,10,9,4,6,6,7,6,5,10,9,10,10,8,5,9,5,10,10,10,10,75,No Reduction,3/17/1999,7229 days 00:00:00.000000000
2540,EL MILAGRO DIALYSIS CENTER,452727,AUSTIN,Texas,TX,78704,30.26,-97.74,5,5,8,5,6,5,6,8,8,8,10,9,5,6,7,7,5,5,10,9,10,10,3,5,7,5,10,10,10,10,62,No Reduction,11/21/1995,8441 days 00:00:00.000000000
2541,CLEBURNE DIALYSIS CENTER,452644,CLEBURNE,Texas,TX,76031,32.34,-97.4,1,5,5,5,3,5,10,8,10,8,10,9,8,6,9,7,8,5,10,9,10,10,8,5,7,5,10,10,10,10,80,No Reduction,4/6/1992,9765 days 00:00:00.000000000
2542,DENISON DIALYSIS CENTER,452665,DENISON,Texas,TX,75020,33.75,-96.56,6,5,9,5,7,5,8,8,9,8,10,9,1,6,5,7,7,5,7,9,10,10,1,5,2,5,10,10,10,10,60,No Reduction,12/8/1993,9154 days 00:00:00.000000000
2543,MIDLAND DIALYSIS,452622,MIDLAND,Texas,TX,79705,32.02,-102.1,9,5,7,5,8,5,9,8,10,8,10,9,9,6,9,7,0,5,10,9,10,10,6,5,6,5,10,10,10,10,66,No Reduction,6/29/1990,10412 days 00:00:00.000000000
2544,CENTRAL HOUSTON DIALYSIS,452677,HOUSTON,Texas,TX,77011,29.76,-95.38,2,5,8,5,5,5,9,8,6,8,10,9,7,6,8,7,1,5,8,9,10,10,1,5,6,5,10,10,10,10,54,0.50%,11/3/1994,8824 days 00:00:00.000000000
2545,DAVITA - MEMORIAL DIALYSIS CENTER,452755,HOUSTON,Texas,TX,77079,29.76,-95.38,7,5,8,5,7,5,9,8,6,8,10,9,9,6,9,7,5,5,9,9,10,10,6,5,4,5,10,10,10,10,70,No Reduction,4/24/1997,7921 days 00:00:00.000000000
2546,FOURTH STREET DIALYSIS,452776,LONGVIEW,Texas,TX,75605,32.51,-94.76,10,5,6,5,8,5,8,8,10,8,10,9,0,6,4,7,6,5,10,9,10,10,4,5,0,5,10,10,10,10,61,No Reduction,7/1/2001,6392 days 00:00:00.000000000
2547,US RENAL CARE TARRANT DIALYSIS CENTRAL FORT WORTH,452799,FORT WORTH,Texas,TX,76105,32.75,-97.33,0,5,0,5,0,5,8,8,9,8,10,9,8,6,9,7,3,5,10,9,10,10,7,5,7,5,10,10,10,10,61,No Reduction,6/21/1999,7133 days 00:00:00.000000000
2548,FMC DIALYSIS SERVICES WACO WEST,452831,WACO,Texas,TX,76712,31.49,-97.23,8,5,9,5,8,5,9,8,10,8,10,9,8,6,9,7,6,5,10,9,10,10,6,5,7,5,10,10,10,10,79,No Reduction,8/23/2001,6339 days 00:00:00.000000000
2549,SAN ANTONIO WEST DIALYSIS,452587,SAN ANTONIO,Texas,TX,78228,29.45,-98.5,4,5,1,5,3,5,9,8,10,8,10,9,7,6,8,7,8,5,9,9,10,10,6,5,10,5,10,10,10,10,77,No Reduction,10/3/1986,11777 days 00:00:00.000000000
2550,ZZCLOSED SHANNON MEDICAL CENTER OUTPATIENT DIALYSIS CENTE,452384,SAN ANGELO,Texas,TX,76905,31.44,-100.45,0,5,0,5,0,5,8,8,8,8,0,9,0,6,0,7,5,5,9,9,10,10,6,5,5,5,6,10,5,10,44,1.00%,3/1/2009,3592 days 00:00:00.000000000
2551,MAINLAND DIALYSIS,452635,LA MARQUE,Texas,TX,77568,29.36,-94.99,5,5,7,5,6,5,1,8,2,8,10,9,7,6,8,7,3,5,2,9,10,10,0,5,6,5,10,10,10,10,43,1.00%,8/22/1991,9993 days 00:00:00.000000000
2552,LONGVIEW DIALYSIS CENTER,452744,LONGVIEW,Texas,TX,75601,32.51,-94.76,7,5,6,5,7,5,8,8,7,8,10,9,0,6,4,7,1,5,9,9,10,10,2,5,5,5,10,10,10,10,50,0.50%,9/18/1996,8139 days 00:00:00.000000000
2553,NORTHSTAR DIALYSIS CENTER,452675,HOUSTON,Texas,TX,77076,29.76,-95.38,4,5,3,5,4,5,5,8,8,8,10,9,3,6,6,7,3,5,10,9,10,10,5,5,0,5,10,10,10,10,48,1.00%,9/12/1994,8876 days 00:00:00.000000000
2554,FMC DIALYSIS SERVICES OF ABILENE SOUTH,452861,ABILENE,Texas,TX,79606,32.45,-99.73,5,5,7,5,6,5,9,8,9,8,10,9,5,6,7,7,7,5,10,9,10,10,6,5,2,5,10,10,10,10,70,No Reduction,5/1/2003,5723 days 00:00:00.000000000
2555,AMARILLO DIALYSIS,452866,AMARILLO,Texas,TX,79119,35.2,-101.81,7,5,4,5,6,5,9,8,7,8,10,9,2,6,5,7,5,5,6,9,10,10,4,5,2,5,10,10,10,10,59,0.50%,7/22/2003,5641 days 00:00:00.000000000
2556,SATELLITE HEALTH CARE INC.,452881,ROUND ROCK,Texas,TX,78681,30.51,-97.67,9,5,5,5,7,5,8,8,8,8,10,9,7,6,8,7,4,5,9,9,10,10,3,5,5,5,10,10,10,10,64,No Reduction,4/8/2004,5380 days 00:00:00.000000000
2557,WISE REGIONAL HEALTH SYSTEM DIALYSIS CENTER,452379,DECATUR,Texas,TX,76234,33.23,-97.59,6,5,6,5,6,5,9,8,10,8,10,9,3,6,6,7,10,5,10,9,9,10,5,5,8,5,10,10,10,10,79,No Reduction,10/1/2004,5204 days 00:00:00.000000000
2558,DSI RIVERSIDE RENAL CENTER,452751,CORPUS CHRISTI,Texas,TX,78410,27.8,-97.39,3,5,4,5,3,5,10,8,9,8,10,9,3,6,6,7,4,5,7,9,10,10,7,5,3,5,10,10,10,10,61,No Reduction,2/5/1997,7999 days 00:00:00.000000000
2559,SATELLITE HEALTHCARE SOUTH LAREDO,452732,LAREDO,Texas,TX,78040,27.53,-99.48,7,5,2,5,5,5,7,8,9,8,10,9,5,6,7,7,9,5,10,9,10,10,3,5,4,5,10,10,10,10,68,No Reduction,5/1/1996,8279 days 00:00:00.000000000
2560,SEGUIN DIALYSIS,672707,SEGUIN,Texas,TX,78155,29.57,-97.96,5,5,6,5,5,5,6,8,9,8,10,9,0,6,4,7,8,5,10,9,10,10,4,5,4,5,10,10,10,10,61,No Reduction,8/5/2013,1974 days 00:00:00.000000000
2561,FRESENIUS MEDICAL CARE OF WEST SEGUIN,672616,SEGUIN,Texas,TX,78155,29.57,-97.96,7,5,5,5,6,5,10,8,10,8,10,9,8,6,9,7,3,5,9,9,10,10,5,5,7,5,10,10,10,10,70,No Reduction,9/3/2009,3406 days 00:00:00.000000000
